gene,relevance,abs_relevance,input_value
GPR160,-0.42546213,0.42546213,-1.1464854
VSTM2B,-0.42022794,0.42022794,2.9951575
SLC25A24,0.41789305,0.41789305,-1.7240555
ELF3,0.41480172,0.41480172,-3.0150626
SLC22A2,0.41222212,0.41222212,-0.39166233
PDZD3,0.409515,0.409515,-0.7647847
MEP1A,0.40479985,0.40479985,0.9676202
TMPRSS11D,-0.4006576,0.4006576,-0.57552713
IDH1,0.40015984,0.40015984,-1.1877698
PPL,0.39818987,0.39818987,-3.2174647
MLPH,0.39656976,0.39656976,-2.0777965
CISH,0.39517683,0.39517683,-2.173222
GRHL2,0.39401487,0.39401487,-2.378705
MYL12A,0.3890693,0.3890693,-2.206571
TACSTD2,0.3886493,0.3886493,-2.5095603
MT3,-0.38555366,0.38555366,2.4917507
ZG16B,0.38530567,0.38530567,-1.288612
NRSN1,-0.38510957,0.38510957,2.5135195
FGFR3,-0.38298693,0.38298693,1.0626101
PDLIM1,0.38096833,0.38096833,-3.297643
SH2D3A,0.38004962,0.38004962,-3.0692785
GATA3,0.37966943,0.37966943,-1.3291323
GALNT3,0.378077,0.378077,-2.0322404
CDHR2,0.37723994,0.37723994,-0.7855658
LIX1,-0.37472248,0.37472248,2.6494002
PRUNE2,-0.37436378,0.37436378,1.5946183
CACNG8,-0.37322322,0.37322322,1.5379688
DPP6,-0.37131593,0.37131593,2.1911342
LRRTM2,-0.36883005,0.36883005,2.3196447
ACSM5,0.36717907,0.36717907,1.9294319
CEACAM5,0.36671212,0.36671212,-1.1919869
LRP2,-0.36588213,0.36588213,0.88760537
SYNPR,-0.36563462,0.36563462,1.6906966
NKAIN4,-0.36020085,0.36020085,2.422925
OTOS,0.3596812,0.3596812,0.65157884
RIPK4,0.3591202,0.3591202,-2.928661
CRB1,0.35839093,0.35839093,2.8401933
THRA,-0.35691556,0.35691556,2.6145074
KLK3,0.3563792,0.3563792,-0.5084866
ESR1,-0.35592723,0.35592723,-1.2548425
SFTPB,0.3550342,0.3550342,-0.77235156
SNCB,-0.35347274,0.35347274,1.9881674
FRK,0.35259056,0.35259056,-1.1353796
CDHR5,0.35094988,0.35094988,-0.5923724
IYD,0.3453293,0.3453293,-1.1096897
GDI1,-0.34110558,0.34110558,2.4882576
PPP3CA,0.3384967,0.3384967,0.33308527
UGT1A6,0.33744723,0.33744723,-1.0740223
STMN4,-0.33569983,0.33569983,3.2030563
ITPR3,-0.33482853,0.33482853,-2.4743261
IRX3,0.3231496,0.3231496,-0.14834052
MTOR,0.32209295,0.32209295,0.5648371
KLF5,0.3182443,0.3182443,-2.1791685
MARVELD2,0.31593743,0.31593743,-1.930616
GJB3,0.31011418,0.31011418,-1.6081883
LPIN3,0.30994344,0.30994344,-2.1946573
LAMC2,0.3078919,0.3078919,-2.7585065
CUX2,-0.30657682,0.30657682,0.846498
VAMP8,0.30621877,0.30621877,-1.7938253
LAD1,0.30538264,0.30538264,-2.7210798
KCNIP1,-0.30335757,0.30335757,2.3745224
TPO,-0.3001018,0.3001018,-0.5775591
FAM174B,0.29923064,0.29923064,-1.1642197
MBOAT1,0.2987921,0.2987921,-1.2630717
LGI3,-0.2948415,0.2948415,2.0982835
SLC17A4,0.29481798,0.29481798,-0.48596197
PTK6,0.29319298,0.29319298,-1.0010436
AR,0.2922736,0.2922736,0.6842995
MAL2,0.29188865,0.29188865,-2.6639063
DSC3,0.28997767,0.28997767,-1.3605943
KIF5C,-0.28884733,0.28884733,1.7929691
ABCC4,-0.28646863,0.28646863,0.22061986
NTF4,0.28578717,0.28578717,-1.2296761
ELAVL4,-0.28418443,0.28418443,2.470307
CHRM1,-0.28386968,0.28386968,0.5881292
STAP2,0.2834638,0.2834638,-2.8326197
ARHGEF4,-0.2795907,0.2795907,1.3887029
TMPRSS4,0.27640426,0.27640426,-1.5761362
ICA1,0.2759759,0.2759759,-1.0551847
ILDR1,0.27377042,0.27377042,-1.9424385
SERPINB5,0.2729712,0.2729712,-1.2994026
GPM6A,-0.2722087,0.2722087,2.3979356
PLP2,0.27055693,0.27055693,-2.536785
HNF1A,0.27051294,0.27051294,-0.39609176
SLC17A2,0.2700058,0.2700058,-0.33292773
SDR16C5,-0.2678607,0.2678607,-0.95314234
RHOD,0.26724645,0.26724645,-2.6701756
STEAP4,0.26709878,0.26709878,-1.8862187
CADPS,-0.2656477,0.2656477,1.7944602
FUT2,0.2655177,0.2655177,-1.1100206
TUBA1C,0.26527673,0.26527673,-2.0733876
SLC22A17,-0.26081887,0.26081887,1.8099254
PRODH2,0.26077884,0.26077884,-0.34965616
RAB27A,0.25997922,0.25997922,-1.8103601
SLC34A2,0.25981233,0.25981233,-1.1779782
MMD2,-0.25742316,0.25742316,2.81277
EPS8L2,0.257175,0.257175,-2.7744696
PTPRZ1,-0.25530514,0.25530514,1.90449
CLDN2,0.25527236,0.25527236,-0.93444437
MYB,0.25146788,0.25146788,-1.8809882
LMX1B,-0.25031915,0.25031915,-0.4420103
GPRC5B,0.24900003,0.24900003,2.7799008
LHFPL3,0.24801783,0.24801783,2.495346
GUCY2C,0.24715446,0.24715446,-0.71214247
AMN,-0.24710892,0.24710892,-1.1133438
DOCK3,-0.24669363,0.24669363,1.6167828
POU3F2,-0.2453273,0.2453273,2.8599443
SCTR,-0.24518491,0.24518491,-0.41430673
DPYSL5,-0.24456555,0.24456555,2.9977965
HPCAL4,-0.24008079,0.24008079,2.3785386
ACSM3,-0.23935091,0.23935091,-1.7556571
GPR37L1,-0.23931856,0.23931856,2.8564086
KRT5,-0.23898964,0.23898964,-0.68601066
SLC39A12,-0.23875597,0.23875597,3.5727077
CLIC1,0.23807336,0.23807336,-2.521638
PCSK9,0.23734616,0.23734616,-1.0595448
RBM47,0.23684826,0.23684826,-1.9271632
CEND1,-0.2363128,0.2363128,2.6212757
UGT2B7,0.23365988,0.23365988,-0.7909797
DSG3,0.23054785,0.23054785,-0.9823661
SFTPC,-0.2291918,0.2291918,0.6393354
ACPP,0.22817263,0.22817263,-0.9336334
TP63,0.22299242,0.22299242,-1.0583696
SLC1A5,0.22070082,0.22070082,-1.7698504
SPDEF,0.22023879,0.22023879,-1.1037997
DUOXA2,0.21946628,0.21946628,-0.6423858
KRT17,0.21852298,0.21852298,-1.629715
CANT1,0.21594654,0.21594654,-1.3861659
LHFPL4,-0.21485439,0.21485439,2.566931
ATP6V1G2,-0.21345755,0.21345755,2.6520367
NYX,0.21271363,0.21271363,0.6850068
CHMP4C,0.21187854,0.21187854,-2.76501
ROS1,0.21171498,0.21171498,-0.78203887
SLC25A18,0.21101512,0.21101512,2.5477254
OVOL2,0.20978379,0.20978379,-2.340099
PERP,0.20575008,0.20575008,-1.9945166
STX19,0.20557213,0.20557213,-0.78501165
FAM131B,-0.20527023,0.20527023,2.593207
CRYGN,0.20223728,0.20223728,-0.8516894
PI3,0.20204575,0.20204575,-1.069861
EPN3,0.20173611,0.20173611,-2.2854078
MOGAT3,0.20094892,0.20094892,-0.4572494
TES,0.2008027,0.2008027,-3.0139964
CNKSR1,0.19972302,0.19972302,-1.361367
SLC26A7,0.19962099,0.19962099,-0.4447806
ARHGEF16,0.19813994,0.19813994,-1.7220116
MUC13,0.1980762,0.1980762,-0.8900623
SLC17A3,0.19489571,0.19489571,-0.41424814
TMEM171,0.1930863,0.1930863,-0.7428466
SLC37A4,-0.191684,0.191684,-1.1213354
EPS8L3,0.19099104,0.19099104,-0.59242845
DMGDH,-0.18887867,0.18887867,0.26441178
CDH1,0.1887607,0.1887607,-2.804131
SLC45A3,-0.18633747,0.18633747,0.7729965
NPY,-0.18572553,0.18572553,1.5045894
MYO7B,0.18520306,0.18520306,0.089760795
SALL1,-0.18484269,0.18484269,1.4655006
SLC5A10,-0.1839236,0.1839236,-1.001279
CPLX3,-0.1832335,0.1832335,1.2869108
SORCS3,-0.18228501,0.18228501,2.121557
MYCBP,0.181759,0.181759,-2.089842
PHLDA2,0.1784102,0.1784102,-2.996747
RORC,0.17690682,0.17690682,-2.3268495
LSAMP,-0.17554931,0.17554931,2.0325923
FAM83H,0.17515834,0.17515834,-2.7196598
C1orf116,0.1744154,0.1744154,-2.0736456
ZDHHC22,-0.17423947,0.17423947,2.8183951
QKI,-0.17288014,0.17288014,2.8040364
C2orf80,-0.17258467,0.17258467,1.8791823
RB1,-0.17135161,0.17135161,0.80226046
SOX1,-0.17031536,0.17031536,2.4359484
NKX2-1,0.17025146,0.17025146,-0.6630076
SLC17A1,0.16972464,0.16972464,-0.37166306
SCGB3A2,0.16943993,0.16943993,-0.5616612
PAGE4,0.16831799,0.16831799,-0.38605702
ESRP2,0.16830419,0.16830419,-2.3581424
FOXG1,-0.16697681,0.16697681,2.0447857
AGXT2,-0.16619687,0.16619687,-0.39102238
TFAP2C,0.1661818,0.1661818,-1.0389627
KRT6A,0.16576253,0.16576253,-1.0069577
BSN,-0.16561513,0.16561513,1.6846561
FEZ1,-0.16544178,0.16544178,2.8722858
CADM2,-0.16527717,0.16527717,2.2293684
SLC39A5,0.16496772,0.16496772,-0.76464325
A1CF,0.16483685,0.16483685,-0.5069278
HOXB5,0.16425446,0.16425446,-1.7000291
ASPDH,0.16227698,0.16227698,2.079286
TMEM151B,-0.16196786,0.16196786,2.2508812
RAB11FIP1,0.16143891,0.16143891,-2.2827404
ELMOD1,0.15895565,0.15895565,2.0539143
RASSF6,0.15786207,0.15786207,-2.4013708
LSR,0.1575419,0.1575419,-2.007127
TUFT1,0.15630306,0.15630306,-3.2403548
HOXA9,-0.15508461,0.15508461,-1.3500481
UGT1A9,0.15503338,0.15503338,-0.71560067
SPOCK3,-0.15431668,0.15431668,2.4723485
TPBG,0.1542849,0.1542849,-1.6442564
SEZ6L,-0.15361314,0.15361314,2.273862
OLIG1,-0.15343544,0.15343544,2.9076371
ARHGEF19,0.1516727,0.1516727,-2.1875777
CALML3,-0.149615,0.149615,-0.91092086
DUOX2,0.14922349,0.14922349,-0.6741685
KLK2,0.14853318,0.14853318,-0.59024334
GPA33,0.14834765,0.14834765,-0.75236076
SLC17A6,0.1471628,0.1471628,1.3110446
PDIA5,0.14677252,0.14677252,-2.4199045
GDAP1L1,0.1460919,0.1460919,2.7418456
PLEKHG6,0.14571904,0.14571904,-2.599152
NEU4,0.14297403,0.14297403,2.4103382
STEAP1,0.14138846,0.14138846,-1.2960818
TP53,-0.13981935,0.13981935,-0.73498356
PDZK1,0.13961217,0.13961217,-0.16706818
NAPSA,0.13721682,0.13721682,-0.607906
ZNF750,0.13681209,0.13681209,-1.5953102
KLK15,-0.13680995,0.13680995,-0.5516639
HRH3,-0.13601655,0.13601655,1.757327
ARHGEF5,-0.13595948,0.13595948,-2.42273
GDF1,0.13534968,0.13534968,2.642088
TMEM30B,0.13207132,0.13207132,-2.274718
KRT15,0.13181211,0.13181211,-1.7076472
CYP2S1,0.13128196,0.13128196,-0.9927321
HES6,0.13078824,0.13078824,1.8855792
SFTPA2,0.12903675,0.12903675,-0.8028449
NKX3-1,0.12892412,0.12892412,-0.61628574
SLC44A4,0.12862276,0.12862276,-2.0165515
PSD2,-0.1282439,0.1282439,2.6626706
RAB38,0.1273104,0.1273104,-1.6056533
MGAT4C,0.12587032,0.12587032,2.0041332
HOXB8,0.12576343,0.12576343,-1.1762007
GPM6B,-0.12520213,0.12520213,2.7970316
KLK4,0.12120423,0.12120423,-0.81123173
BIK,0.120105796,0.120105796,-1.3505063
FXYD2,0.119921856,0.119921856,-0.27005666
TFAP2A,0.11952547,0.11952547,-0.9433517
IL1A,0.11868747,0.11868747,1.0028789
LYPD3,0.11651089,0.11651089,-1.178451
KRT6B,0.116020516,0.116020516,-0.97845465
ARHGEF35,0.115631714,0.115631714,-2.588702
IVL,0.11542567,0.11542567,-0.8293526
RLBP1,-0.11542281,0.11542281,2.1189995
VIL1,0.114240244,0.114240244,-0.53130925
SFTA2,0.112131044,0.112131044,-0.8219094
OR51E1,0.11134458,0.11134458,-1.8402183
OLIG2,-0.11068119,0.11068119,2.9153323
GPSM2,-0.11038879,0.11038879,1.4710253
KRAS,-0.11031614,0.11031614,-0.33365184
GREB1,-0.11007846,0.11007846,0.6878504
ROM1,-0.10985804,0.10985804,2.782384
BRCA1,0.10746966,0.10746966,-0.31135166
TRPS1,-0.10674476,0.10674476,0.39295596
GABBR2,0.10546901,0.10546901,1.7268244
C9orf152,0.10474317,0.10474317,-1.3128626
IMPA2,0.104318514,0.104318514,-1.7757125
PABPC1L2B,-0.10398273,0.10398273,1.2903341
SLC13A1,0.103662886,0.103662886,-0.36760217
B4GALT1,0.10302321,0.10302321,-2.0759382
LRRC26,0.10078049,0.10078049,-1.0037035
MEGF11,-0.09993077,0.09993077,2.15997
CDH17,0.09993015,0.09993015,-0.31120446
CUBN,0.09928647,0.09928647,-0.46028012
EVX1,-0.09926343,0.09926343,-0.5392194
DLL3,0.09892387,0.09892387,2.6964114
KRT16,0.09882114,0.09882114,-1.1133606
RND2,-0.09847477,0.09847477,2.5421817
SLC35F1,-0.09843492,0.09843492,1.9992163
LPAR3,-0.09800164,0.09800164,-1.2637048
NDRG4,-0.09779188,0.09779188,2.1202354
SLC28A1,-0.09736213,0.09736213,0.26483482
IRX4,0.096939944,0.096939944,-0.63150096
HMGA1,0.09618773,0.09618773,-0.9270734
DUOXA1,0.095635444,0.095635444,-0.23113078
RUFY3,-0.09441956,0.09441956,2.251963
SFTPA1,0.09430601,0.09430601,-0.5867557
FAM83E,0.09308945,0.09308945,-1.3367146
SOX8,-0.09263393,0.09263393,2.6039212
CDX1,0.09113412,0.09113412,-0.624622
SFTA3,0.09064152,0.09064152,-0.6504656
HAVCR1,-0.090262264,0.090262264,-0.45334205
DENND2D,0.08979079,0.08979079,-2.182624
RAB34,0.08913662,0.08913662,-1.8654969
LTBR,0.08709978,0.08709978,-2.6026192
FGFBP1,0.085640505,0.085640505,-1.2020044
TMEFF2,-0.08563417,0.08563417,1.5999109
PGC,0.085129544,0.085129544,-0.7271856
SPRR1B,0.08413998,0.08413998,-0.63978654
DBX2,0.083442196,0.083442196,2.7319834
FAM83A,0.083430715,0.083430715,-1.1926425
HEPN1,-0.08313516,0.08313516,2.9276445
NKAIN3,0.08313354,0.08313354,3.5663369
CDX2,0.08210009,0.08210009,-0.5917563
CELF3,0.08176139,0.08176139,1.9855139
MYT1L,-0.081722714,0.081722714,2.2028773
CDCA4,0.081372224,0.081372224,-1.8515744
CTSB,0.08107724,0.08107724,-0.578693
TMPRSS13,0.08104963,0.08104963,-2.1642206
DSCAML1,0.080558226,0.080558226,1.9171791
SERPINB13,0.08049092,0.08049092,-0.58479893
TEAD3,0.08044344,0.08044344,-3.2903051
ARHGAP6,0.08023959,0.08023959,1.1740717
CLRN3,0.07973069,0.07973069,-0.2873779
RAB17,0.07875895,0.07875895,-2.484948
OR2A7,0.07779269,0.07779269,-2.6447296
PKLR,-0.07718475,0.07718475,-0.7360237
ANXA4,0.07651124,0.07651124,-1.4664798
SERPINB3,0.07628639,0.07628639,-0.7277163
S100A2,0.07593432,0.07593432,-0.62140393
GPR87,-0.07584996,0.07584996,-1.0756112
ANO7,0.0758427,0.0758427,-0.28896192
DDAH1,0.07503632,0.07503632,1.4297518
HOXB6,0.07301504,0.07301504,-1.5089271
CHRNA2,-0.07294477,0.07294477,-0.13293622
CNDP1,0.07270422,0.07270422,3.7892878
DHRS7,-0.071888626,0.071888626,-0.28639767
ASPA,-0.07165708,0.07165708,2.1341398
CXCL17,0.07159956,0.07159956,-1.3818606
SCRT1,0.07106766,0.07106766,2.2361999
REG4,-0.070563875,0.070563875,-0.2657078
APOBEC1,0.07045729,0.07045729,-0.40682212
RGR,-0.06952291,0.06952291,2.7819898
PIK3CA,0.069264345,0.069264345,0.15135844
MALL,0.06849898,0.06849898,-2.2633057
LGALS7B,0.067980275,0.067980275,-0.80448765
HOXB7,0.06765682,0.06765682,-0.77618146
DNAH8,-0.06662341,0.06662341,-0.237826
POU3F4,-0.066539176,0.066539176,3.171389
CARNS1,-0.06650834,0.06650834,2.9155235
SLC6A12,0.066214316,0.066214316,1.2114689
GLYATL1,0.06615543,0.06615543,-0.996927
CTNNB1,-0.066025235,0.066025235,-0.23541807
SERPINB4,0.064346224,0.064346224,-0.6801853
RFPL2,-0.0641465,0.0641465,-0.52066344
HPN,0.06403544,0.06403544,-0.31802145
CLIC3,0.060944095,0.060944095,-1.8288321
CD46,0.060416542,0.060416542,-2.3754768
ELF4,0.06009417,0.06009417,-1.4347667
MYC,0.05997801,0.05997801,-0.08057799
BNIPL,0.05958113,0.05958113,-1.456343
SEZ6,-0.059353657,0.059353657,2.622381
VHL,-0.058940753,0.058940753,0.18275845
SLC3A1,0.058632933,0.058632933,-0.30746084
VRK2,0.05801241,0.05801241,-1.1227412
SPRR2D,0.057961192,0.057961192,-0.603364
HOXA13,-0.057247244,0.057247244,-0.52871
SPRR1A,0.0567846,0.0567846,-0.6158427
SVOP,-0.056770578,0.056770578,2.0184073
TTYH2,0.056478802,0.056478802,2.6492145
LGALS7,0.056361817,0.056361817,-0.8940941
TM4SF5,0.056105115,0.056105115,-0.5215167
IL1RN,0.055843104,0.055843104,0.06421218
RETNLB,0.05434843,0.05434843,-0.32045797
CLCA2,0.05396439,0.05396439,0.042082988
ZDHHC5,0.053893283,0.053893283,-2.772667
TTYH1,-0.053374507,0.053374507,2.7956135
KRT6C,0.05334821,0.05334821,-0.8290323
TNK1,0.05306719,0.05306719,-1.9898833
CYP2C18,0.052931976,0.052931976,-0.71370983
FABP2,-0.05261475,0.05261475,-0.42753452
CREB3L4,0.052395973,0.052395973,-1.1730431
HOXA11,0.052292388,0.052292388,-0.68419355
RSPH6A,0.05215057,0.05215057,-0.51188666
MUC12,0.051807825,0.051807825,-0.46661043
SLC2A2,0.051718216,0.051718216,-0.2253114
LRRC15,0.05089809,0.05089809,-1.1053728
SPRR2A,0.05089389,0.05089389,-0.5853647
CDH16,0.050498016,0.050498016,-0.7871083
SBSN,0.049368426,0.049368426,-0.7805642
TET2,-0.04888387,0.04888387,0.48111078
ATP10B,-0.048475273,0.048475273,1.2381687
C21orf62,0.048454054,0.048454054,2.3347743
KPRP,0.04760586,0.04760586,-0.4168751
ELMO3,-0.047311757,0.047311757,-3.44656
CTSE,0.046516012,0.046516012,-1.0839075
CCL15,0.046513963,0.046513963,-0.76618457
C1orf94,0.045765806,0.045765806,3.468149
TRIM31,0.04515657,0.04515657,-0.801446
SNTG1,-0.044781186,0.044781186,2.6235988
OR51E2,0.043817934,0.043817934,-0.9707373
FABP1,0.04368044,0.04368044,-0.436182
SLC10A2,0.04360025,0.04360025,-0.41514182
SCG3,-0.043407723,0.043407723,2.779587
ADH6,0.0432792,0.0432792,-0.7122058
ACMSD,0.04307474,0.04307474,-0.42420346
AMACR,0.042998172,0.042998172,-0.40929985
LLGL2,-0.042406984,0.042406984,-1.5778487
MPZL2,0.041721143,0.041721143,-3.339545
SPINK4,0.041560434,0.041560434,-0.43739316
SPRR2E,0.04139233,0.04139233,-0.49543282
SPRR2B,0.0409693,0.0409693,-0.3932998
SOX3,-0.040400647,0.040400647,2.4492419
TMEM174,0.040242635,0.040242635,0.20654258
ALDH3B2,0.039808944,0.039808944,-1.7211417
MST4,0.039673656,0.039673656,-1.8200681
C6orf223,0.039518494,0.039518494,-1.405691
TEC,0.03949957,0.03949957,-1.8851136
C15orf21,0.039495386,0.039495386,-0.930224
GDEP,0.03949529,0.03949529,-0.31389737
SLAIN1,0.039490093,0.039490093,2.244382
LOC642587,0.03948937,0.03948937,-1.1813575
FAM57B,0.03948816,0.03948816,2.2458827
TMEM72,0.039487384,0.039487384,-0.35225773
SLC16A12,0.03948682,0.03948682,-1.1910341
LOC645323,0.039486602,0.039486602,2.502825
LOC400940,0.03948642,0.03948642,2.2642684
HOXA11AS,0.03948642,0.03948642,-0.86045444
FAM123A,0.039486058,0.039486058,3.2234073
PLVAP,0.03948589,0.03948589,-1.4185145
C19orf77,0.03948578,0.03948578,-0.32108733
CSDAP1,0.039485473,0.039485473,-1.4933349
FAM181B,0.039485164,0.039485164,2.3761134
C2orf85,0.039485067,0.039485067,2.3763108
LOC100128811,0.039485034,0.039485034,2.396212
PURG,0.039484743,0.039484743,2.509414
KCTD4,0.039484628,0.039484628,2.76046
LONRF2,0.03948448,0.03948448,0.8904987
EGFL6,0.03948438,0.03948438,-1.833079
AQP4,0.039484005,0.039484005,2.3266504
SNN,0.039483745,0.039483745,2.6485863
LUZP2,0.039483704,0.039483704,2.5208054
LASS1,0.039483458,0.039483458,2.6259823
TTC9B,0.039483458,0.039483458,2.5260139
ITIH5L,0.0394834,0.0394834,-0.9338389
ENHO,0.039483238,0.039483238,2.418996
LOC283856,0.03948303,0.03948303,2.4249814
ZBED2,0.039483026,0.039483026,-1.4552045
PRRG2,0.039483007,0.039483007,-1.8978715
C8orf46,0.039482996,0.039482996,2.5417821
SMPDL3B,0.039482947,0.039482947,-2.4057255
PRELID2,0.039482746,0.039482746,-1.5401272
AIM1L,0.039482675,0.039482675,-1.5504642
C5orf53,0.039482646,0.039482646,2.5595899
RFTN2,0.03948258,0.03948258,2.889238
LOC150622,0.039482556,0.039482556,2.8152392
LOC283999,0.03948254,0.03948254,4.408468
RMST,0.039482538,0.039482538,0.90182984
LOC339788,0.03948253,0.03948253,4.485344
PVRL4,0.039482523,0.039482523,-2.5793748
CXorf1,0.03948252,0.03948252,2.5670757
FAM83F,0.039482497,0.039482497,-1.936191
LOC148145,0.039482463,0.039482463,3.760145
FAM160A1,0.039482452,0.039482452,-2.6349645
SH2D4A,0.039482433,0.039482433,-2.6691298
GPRC5A,0.039482422,0.039482422,-2.6982872
ACCN4,0.039482422,0.039482422,2.5724924
RBP5,0.039482422,0.039482422,-1.4705989
ANKRD5,0.039482407,0.039482407,-2.7543721
TMC4,0.039482404,0.039482404,-2.7121084
C1orf172,0.039482396,0.039482396,-2.7672153
BAALC,0.03948238,0.03948238,2.574286
C11orf82,0.039482377,0.039482377,-0.962472
FLJ43390,0.039482374,0.039482374,2.6888897
C1orf210,0.03948237,0.03948237,-2.845899
CCDC64B,0.039482366,0.039482366,-2.8365269
GYLTL1B,0.039482348,0.039482348,-2.8988514
CTAGE9,0.039482344,0.039482344,-2.8592024
TMEM184A,0.039482344,0.039482344,-2.9092379
AIM1,0.039482336,0.039482336,-2.9730008
LOC441294,0.039482336,0.039482336,-2.9087095
TTC39A,0.03948232,0.03948232,-3.0275707
KIAA1217,0.039482318,0.039482318,-3.02265
VDR,0.039482314,0.039482314,-3.0424647
GPR123,0.0394823,0.0394823,2.5786119
TSTD1,0.0394823,0.0394823,-3.214517
EFCAB4A,0.039482296,0.039482296,-1.9942023
LOC728392,0.039482288,0.039482288,2.8587027
RNF112,0.039482288,0.039482288,2.125954
SCHIP1,0.039482277,0.039482277,2.451439
ROD1,0.039482262,0.039482262,-2.009514
