gene,relevance,abs_relevance,input_value
POTEH,0.039419565,0.039419565,-0.39355937
LOC285733,0.03941818,0.03941818,0.059620112
CLEC18A,0.039411623,0.039411623,0.04699518
LASS3,0.039407566,0.039407566,-0.053429015
C11orf52,0.039407384,0.039407384,-1.8194497
TRIM40,0.03938092,0.03938092,-0.44248718
PCA3,0.039372526,0.039372526,-0.30793276
METTL7B,0.039359007,0.039359007,-0.03041145
PPAP2A,0.039355148,0.039355148,0.028436206
PRAP1,0.039327025,0.039327025,-0.7846145
SPRR2C,0.039311867,0.039311867,-0.44883865
CFC1B,0.0392835,0.0392835,0.017891852
MIA2,0.039238125,0.039238125,-0.82588726
BAI3,0.039157815,0.039157815,2.3652213
NR1I2,-0.039012328,0.039012328,-0.52327365
DPYS,-0.03895519,0.03895519,-0.3888546
NAT8,0.038101263,0.038101263,-0.2432509
SPRR2G,0.038017675,0.038017675,-0.44718903
SNAP91,-0.037834108,0.037834108,2.23469
SERINC2,0.03724345,0.03724345,-2.9811308
C6orf132,0.03709306,0.03709306,-2.6097996
SULT1C2,0.03574413,0.03574413,-0.5176962
ERN2,0.035166126,0.035166126,-0.6337093
BTBD17,0.034710955,0.034710955,2.3952737
LMO3,-0.034615364,0.034615364,1.1062351
TCF21,0.03461447,0.03461447,-1.0448073
CORO2A,0.034431126,0.034431126,-2.890953
PITX1,-0.034322165,0.034322165,-0.42285737
PHYHIPL,-0.03358029,0.03358029,2.250439
KRT78,0.03343611,0.03343611,-0.6297262
ATCAY,0.033197403,0.033197403,2.5157166
ATP6V0E2,-0.03312748,0.03312748,1.5462763
MRO,0.032974146,0.032974146,2.479838
WFDC5,0.032748885,0.032748885,-0.6762781
TMEM132B,-0.03253703,0.03253703,2.0377433
SYT6,-0.03208592,0.03208592,2.5523314
ANKRD30A,0.03163292,0.03163292,-0.4816002
FAM83G,0.03128335,0.03128335,-2.6661236
KLK9,0.030925628,0.030925628,-0.47547457
CLIP2,0.029869793,0.029869793,2.268445
EHF,0.02914753,0.02914753,-1.3379639
WNT7B,-0.029093917,0.029093917,0.23687093
RIT2,-0.028467074,0.028467074,0.97044915
SALL3,0.026894363,0.026894363,2.280593
MUC17,0.02675355,0.02675355,-0.4304459
ST3GAL5,0.026406007,0.026406007,0.73916113
OMG,-0.02640487,0.02640487,3.277525
KRT20,0.026043134,0.026043134,-0.4956681
SCEL,0.025935404,0.025935404,-0.96322376
PGLYRP4,-0.025526369,0.025526369,-0.69186735
PLA2G4E,0.025481177,0.025481177,-0.6226077
NR1H4,-0.025358181,0.025358181,0.28682426
RPS4Y2,-0.024403647,0.024403647,0.050461683
SLITRK3,0.024261067,0.024261067,2.2446506
CMTM5,-0.02421988,0.02421988,3.0609608
KRTDAP,0.023471834,0.023471834,-0.49378136
EMX2,-0.022947773,0.022947773,1.0194297
SERPINB1,0.022437729,0.022437729,-1.1890872
IHH,0.02230535,0.02230535,-0.7960111
KRT80,0.021863524,0.021863524,-2.588571
SLC6A13,-0.02157854,0.02157854,0.7066891
TRPM8,-0.021373874,0.021373874,-0.83547544
TMPRSS11A,0.021320537,0.021320537,-0.5241701
BHMT,-0.020313129,0.020313129,-0.53821754
ADH7,0.019928152,0.019928152,-0.5462038
LRRC19,0.019469919,0.019469919,-0.797087
ISX,-0.01932363,0.01932363,-0.51429784
NPAS3,-0.019299168,0.019299168,1.9106544
C4BPA,0.018759103,0.018759103,-0.7695938
GALNT8,0.018688548,0.018688548,0.252436
RDH11,0.01862943,0.01862943,0.22623196
TM4SF20,0.018440472,0.018440472,-0.083463594
LCE3D,0.018133923,0.018133923,-0.39732414
AZGP1,0.0179551,0.0179551,-0.17291099
CPNE4,-0.017903155,0.017903155,-0.1424563
PGLYRP3,-0.017619241,0.017619241,-0.5352066
LCE3E,0.01711753,0.01711753,-0.37066466
GSX1,-0.01608348,0.01608348,3.2249053
MIOX,0.01578495,0.01578495,-0.810541
GPR35,0.015716102,0.015716102,-0.3871251
ST6GALNAC1,-0.01520048,0.01520048,0.071237504
CRCT1,0.014975341,0.014975341,-0.43610713
THRSP,0.014767358,0.014767358,-0.18022725
FEV,-0.013164395,0.013164395,-0.5095063
LMAN1L,0.01270439,0.01270439,-0.1305694
ZNF488,-0.012688334,0.012688334,2.6056285
PAX2,0.0124889845,0.0124889845,-0.6611249
GPR61,-0.012091749,0.012091749,1.4159323
POU3F3,-0.011650227,0.011650227,1.8726089
ENAM,-0.011314965,0.011314965,-0.12403684
SDR9C7,0.011149416,0.011149416,-0.5095368
ALDOB,0.011123722,0.011123722,0.1903962
RGL3,-0.010133783,0.010133783,-0.085633405
FAM83C,0.010031342,0.010031342,-0.65817946
HKDC1,0.009839526,0.009839526,-0.12619902
DENND5A,-0.009539707,0.009539707,2.6719682
CREB3L3,0.009465982,0.009465982,0.02508169
BTNL3,0.009097143,0.009097143,0.17742375
UGT2A3,-0.009062919,0.009062919,-0.49590024
ATOH1,0.008979437,0.008979437,-0.10452518
RFX4,-0.008426947,0.008426947,3.1989977
FEZF2,-0.008179749,0.008179749,2.0954244
BNC1,-0.007763382,0.007763382,-0.65826714
TTBK1,-0.007656604,0.007656604,2.2438793
PLEKHB1,0.0075520696,0.0075520696,2.3753457
COL20A1,-0.0072231507,0.0072231507,3.2304451
GCNT3,0.007140162,0.007140162,-1.5142657
MREG,0.006875865,0.006875865,-0.77203107
UPB1,0.0061368593,0.0061368593,0.39744502
PNMA2,-0.005813334,0.005813334,1.9350985
