gene,relevance,input_value
DGKB,-13.469027,2.616386
DCLK2,12.377762,2.630171
PAWR,-10.344912,-2.30875
ARPP21,8.840796,2.385089
CNP,6.613259,4.225023
KCNN2,6.507879,2.093242
CNN2,-6.424383,-2.229593
CRYL1,-6.380639,1.533261
CAMKV,6.343017,2.390558
IQCK,6.247127,1.866797
GRB7,-6.069555,-3.215343
JPH4,6.050007,2.105054
TMOD2,5.270873,2.466228
SEMA3F,5.263221,-3.25439
GATA6,5.172647,-2.803907
